model_size,question_type,design,criteria,material,mean_error
1.5,agentic,kitchen utensil grip,lightweight,steel,0.36486486486486486
1.5,agentic,kitchen utensil grip,lightweight,aluminum,0.27710843373493976
1.5,agentic,kitchen utensil grip,lightweight,titanium,2.764044943820225
1.5,agentic,kitchen utensil grip,lightweight,glass,3.1139240506329116
1.5,agentic,kitchen utensil grip,lightweight,wood,5.973684210526316
1.5,agentic,kitchen utensil grip,lightweight,thermoplastic,-0.24691358024691357
1.5,agentic,kitchen utensil grip,lightweight,elastomer,8.205479452054794
1.5,agentic,kitchen utensil grip,lightweight,thermoset,0.37333333333333335
1.5,agentic,kitchen utensil grip,lightweight,composite,-0.05194805194805195
1.5,agentic,kitchen utensil grip,heat resistant,steel,7.136986301369863
1.5,agentic,kitchen utensil grip,heat resistant,aluminum,3.7945205479452055
1.5,agentic,kitchen utensil grip,heat resistant,titanium,5.041095890410959
1.5,agentic,kitchen utensil grip,heat resistant,glass,5.8493150684931505
1.5,agentic,kitchen utensil grip,heat resistant,wood,2.0273972602739727
1.5,agentic,kitchen utensil grip,heat resistant,thermoplastic,2.6575342465753424
1.5,agentic,kitchen utensil grip,heat resistant,elastomer,0.1643835616438356
1.5,agentic,kitchen utensil grip,heat resistant,thermoset,-5.424657534246576
1.5,agentic,kitchen utensil grip,heat resistant,composite,0.1232876712328767
1.5,agentic,kitchen utensil grip,corrosion resistant,steel,3.4794520547945207
1.5,agentic,kitchen utensil grip,corrosion resistant,aluminum,5.068493150684931
1.5,agentic,kitchen utensil grip,corrosion resistant,titanium,4.945205479452055
1.5,agentic,kitchen utensil grip,corrosion resistant,glass,-1.4794520547945205
1.5,agentic,kitchen utensil grip,corrosion resistant,wood,-0.3561643835616438
1.5,agentic,kitchen utensil grip,corrosion resistant,thermoplastic,0.589041095890411
1.5,agentic,kitchen utensil grip,corrosion resistant,elastomer,-4.041095890410959
1.5,agentic,kitchen utensil grip,corrosion resistant,thermoset,2.808219178082192
1.5,agentic,kitchen utensil grip,corrosion resistant,composite,2.3013698630136985
1.5,agentic,kitchen utensil grip,high strength,steel,5.891891891891892
1.5,agentic,kitchen utensil grip,high strength,aluminum,-1.2567567567567568
1.5,agentic,kitchen utensil grip,high strength,titanium,2.175675675675676
1.5,agentic,kitchen utensil grip,high strength,glass,-6.472972972972973
1.5,agentic,kitchen utensil grip,high strength,wood,1.7027027027027026
1.5,agentic,kitchen utensil grip,high strength,thermoplastic,0.9864864864864865
1.5,agentic,kitchen utensil grip,high strength,elastomer,3.918918918918919
1.5,agentic,kitchen utensil grip,high strength,thermoset,-3.527027027027027
1.5,agentic,kitchen utensil grip,high strength,composite,-2.445945945945946
1.5,agentic,spacecraft component,lightweight,steel,-2.9577464788732395
1.5,agentic,spacecraft component,lightweight,aluminum,1.9295774647887325
1.5,agentic,spacecraft component,lightweight,titanium,0.5633802816901409
1.5,agentic,spacecraft component,lightweight,glass,-2.5492957746478875
1.5,agentic,spacecraft component,lightweight,wood,3.2816901408450705
1.5,agentic,spacecraft component,lightweight,thermoplastic,2.4225352112676055
1.5,agentic,spacecraft component,lightweight,elastomer,6.71830985915493
1.5,agentic,spacecraft component,lightweight,thermoset,5.366197183098592
1.5,agentic,spacecraft component,lightweight,composite,3.1971830985915495
1.5,agentic,spacecraft component,heat resistant,steel,-3.1333333333333333
1.5,agentic,spacecraft component,heat resistant,aluminum,-0.10666666666666667
1.5,agentic,spacecraft component,heat resistant,titanium,1.2666666666666666
1.5,agentic,spacecraft component,heat resistant,glass,5.973333333333334
1.5,agentic,spacecraft component,heat resistant,wood,2.986666666666667
1.5,agentic,spacecraft component,heat resistant,thermoplastic,-1.6266666666666667
1.5,agentic,spacecraft component,heat resistant,elastomer,-3.493333333333333
1.5,agentic,spacecraft component,heat resistant,thermoset,-4.466666666666667
1.5,agentic,spacecraft component,heat resistant,composite,0.17333333333333334
1.5,agentic,spacecraft component,corrosion resistant,steel,-0.4057971014492754
1.5,agentic,spacecraft component,corrosion resistant,aluminum,2.347826086956522
1.5,agentic,spacecraft component,corrosion resistant,titanium,2.2318840579710146
1.5,agentic,spacecraft component,corrosion resistant,glass,-2.0869565217391304
1.5,agentic,spacecraft component,corrosion resistant,wood,1.7826086956521738
1.5,agentic,spacecraft component,corrosion resistant,thermoplastic,5.072463768115942
1.5,agentic,spacecraft component,corrosion resistant,elastomer,5.913043478260869
1.5,agentic,spacecraft component,corrosion resistant,thermoset,-0.2608695652173913
1.5,agentic,spacecraft component,corrosion resistant,composite,1.1884057971014492
1.5,agentic,spacecraft component,high strength,steel,5.164383561643835
1.5,agentic,spacecraft component,high strength,aluminum,-2.684931506849315
1.5,agentic,spacecraft component,high strength,titanium,0.1095890410958904
1.5,agentic,spacecraft component,high strength,glass,2.8767123287671232
1.5,agentic,spacecraft component,high strength,wood,5.191780821917808
1.5,agentic,spacecraft component,high strength,thermoplastic,2.328767123287671
1.5,agentic,spacecraft component,high strength,elastomer,-4.684931506849315
1.5,agentic,spacecraft component,high strength,thermoset,2.452054794520548
1.5,agentic,spacecraft component,high strength,composite,2.506849315068493
1.5,agentic,underwater component,lightweight,steel,-1.6486486486486487
1.5,agentic,underwater component,lightweight,aluminum,-3.4864864864864864
1.5,agentic,underwater component,lightweight,titanium,-0.6891891891891891
1.5,agentic,underwater component,lightweight,glass,6.0
1.5,agentic,underwater component,lightweight,wood,0.47297297297297297
1.5,agentic,underwater component,lightweight,thermoplastic,4.72972972972973
1.5,agentic,underwater component,lightweight,elastomer,5.878378378378378
1.5,agentic,underwater component,lightweight,thermoset,4.716216216216216
1.5,agentic,underwater component,lightweight,composite,-0.36486486486486486
1.5,agentic,underwater component,heat resistant,steel,4.394736842105263
1.5,agentic,underwater component,heat resistant,aluminum,-3.3552631578947367
1.5,agentic,underwater component,heat resistant,titanium,2.736842105263158
1.5,agentic,underwater component,heat resistant,glass,4.105263157894737
1.5,agentic,underwater component,heat resistant,wood,1.0263157894736843
1.5,agentic,underwater component,heat resistant,thermoplastic,4.75
1.5,agentic,underwater component,heat resistant,elastomer,5.5131578947368425
1.5,agentic,underwater component,heat resistant,thermoset,-4.157894736842105
1.5,agentic,underwater component,heat resistant,composite,0.6973684210526315
1.5,agentic,underwater component,corrosion resistant,steel,3.7564102564102564
1.5,agentic,underwater component,corrosion resistant,aluminum,4.5256410256410255
1.5,agentic,underwater component,corrosion resistant,titanium,2.0128205128205128
1.5,agentic,underwater component,corrosion resistant,glass,-3.9615384615384617
1.5,agentic,underwater component,corrosion resistant,wood,6.32051282051282
1.5,agentic,underwater component,corrosion resistant,thermoplastic,5.371794871794871
1.5,agentic,underwater component,corrosion resistant,elastomer,5.705128205128205
1.5,agentic,underwater component,corrosion resistant,thermoset,-3.0256410256410255
1.5,agentic,underwater component,corrosion resistant,composite,2.871794871794872
1.5,agentic,underwater component,high strength,steel,5.197183098591549
1.5,agentic,underwater component,high strength,aluminum,1.8732394366197183
1.5,agentic,underwater component,high strength,titanium,0.971830985915493
1.5,agentic,underwater component,high strength,glass,-5.450704225352113
1.5,agentic,underwater component,high strength,wood,0.6056338028169014
1.5,agentic,underwater component,high strength,thermoplastic,-3.2535211267605635
1.5,agentic,underwater component,high strength,elastomer,-1.2112676056338028
1.5,agentic,underwater component,high strength,thermoset,-2.9859154929577465
1.5,agentic,underwater component,high strength,composite,1.1830985915492958
1.5,agentic,safety helmet,lightweight,steel,3.4166666666666665
1.5,agentic,safety helmet,lightweight,aluminum,4.166666666666667
1.5,agentic,safety helmet,lightweight,titanium,1.6944444444444444
1.5,agentic,safety helmet,lightweight,glass,0.6388888888888888
1.5,agentic,safety helmet,lightweight,wood,1.3888888888888888
1.5,agentic,safety helmet,lightweight,thermoplastic,-3.0416666666666665
1.5,agentic,safety helmet,lightweight,elastomer,0.9305555555555556
1.5,agentic,safety helmet,lightweight,thermoset,1.3055555555555556
1.5,agentic,safety helmet,lightweight,composite,1.375
1.5,agentic,safety helmet,heat resistant,steel,5.915492957746479
1.5,agentic,safety helmet,heat resistant,aluminum,-1.943661971830986
1.5,agentic,safety helmet,heat resistant,titanium,4.929577464788732
1.5,agentic,safety helmet,heat resistant,glass,0.9436619718309859
1.5,agentic,safety helmet,heat resistant,wood,5.408450704225352
1.5,agentic,safety helmet,heat resistant,thermoplastic,1.8591549295774648
1.5,agentic,safety helmet,heat resistant,elastomer,5.605633802816901
1.5,agentic,safety helmet,heat resistant,thermoset,5.309859154929577
1.5,agentic,safety helmet,heat resistant,composite,1.6338028169014085
1.5,agentic,safety helmet,corrosion resistant,steel,4.027777777777778
1.5,agentic,safety helmet,corrosion resistant,aluminum,5.583333333333333
1.5,agentic,safety helmet,corrosion resistant,titanium,3.138888888888889
1.5,agentic,safety helmet,corrosion resistant,glass,-2.763888888888889
1.5,agentic,safety helmet,corrosion resistant,wood,0.05555555555555555
1.5,agentic,safety helmet,corrosion resistant,thermoplastic,0.6388888888888888
1.5,agentic,safety helmet,corrosion resistant,elastomer,-3.7222222222222223
1.5,agentic,safety helmet,corrosion resistant,thermoset,1.9583333333333333
1.5,agentic,safety helmet,corrosion resistant,composite,0.9305555555555556
1.5,agentic,safety helmet,high strength,steel,4.71830985915493
1.5,agentic,safety helmet,high strength,aluminum,2.211267605633803
1.5,agentic,safety helmet,high strength,titanium,-1.3661971830985915
1.5,agentic,safety helmet,high strength,glass,-3.3380281690140845
1.5,agentic,safety helmet,high strength,wood,1.8169014084507042
1.5,agentic,safety helmet,high strength,thermoplastic,-2.7746478873239435
1.5,agentic,safety helmet,high strength,elastomer,-3.267605633802817
1.5,agentic,safety helmet,high strength,thermoset,-6.042253521126761
1.5,agentic,safety helmet,high strength,composite,1.7887323943661972
1.5,zero-shot,kitchen utensil grip,lightweight,steel,3.364864864864865
1.5,zero-shot,kitchen utensil grip,lightweight,aluminum,0.27710843373493976
1.5,zero-shot,kitchen utensil grip,lightweight,titanium,0.7640449438202247
1.5,zero-shot,kitchen utensil grip,lightweight,glass,7.113924050632911
1.5,zero-shot,kitchen utensil grip,lightweight,wood,5.973684210526316
1.5,zero-shot,kitchen utensil grip,lightweight,thermoplastic,4.753086419753086
1.5,zero-shot,kitchen utensil grip,lightweight,elastomer,6.205479452054795
1.5,zero-shot,kitchen utensil grip,lightweight,thermoset,5.373333333333333
1.5,zero-shot,kitchen utensil grip,lightweight,composite,-0.05194805194805195
1.5,zero-shot,kitchen utensil grip,heat resistant,steel,5.136986301369863
1.5,zero-shot,kitchen utensil grip,heat resistant,aluminum,1.7945205479452055
1.5,zero-shot,kitchen utensil grip,heat resistant,titanium,3.041095890410959
1.5,zero-shot,kitchen utensil grip,heat resistant,glass,5.8493150684931505
1.5,zero-shot,kitchen utensil grip,heat resistant,wood,2.0273972602739727
1.5,zero-shot,kitchen utensil grip,heat resistant,thermoplastic,2.6575342465753424
1.5,zero-shot,kitchen utensil grip,heat resistant,elastomer,3.164383561643836
1.5,zero-shot,kitchen utensil grip,heat resistant,thermoset,2.5753424657534247
1.5,zero-shot,kitchen utensil grip,heat resistant,composite,1.1232876712328768
1.5,zero-shot,kitchen utensil grip,corrosion resistant,steel,3.4794520547945207
1.5,zero-shot,kitchen utensil grip,corrosion resistant,aluminum,3.0684931506849313
1.5,zero-shot,kitchen utensil grip,corrosion resistant,titanium,2.9452054794520546
1.5,zero-shot,kitchen utensil grip,corrosion resistant,glass,3.5205479452054793
1.5,zero-shot,kitchen utensil grip,corrosion resistant,wood,2.643835616438356
1.5,zero-shot,kitchen utensil grip,corrosion resistant,thermoplastic,3.589041095890411
1.5,zero-shot,kitchen utensil grip,corrosion resistant,elastomer,3.958904109589041
1.5,zero-shot,kitchen utensil grip,corrosion resistant,thermoset,2.808219178082192
1.5,zero-shot,kitchen utensil grip,corrosion resistant,composite,2.3013698630136985
1.5,zero-shot,kitchen utensil grip,high strength,steel,5.891891891891892
1.5,zero-shot,kitchen utensil grip,high strength,aluminum,1.7432432432432432
1.5,zero-shot,kitchen utensil grip,high strength,titanium,1.1756756756756757
1.5,zero-shot,kitchen utensil grip,high strength,glass,1.527027027027027
1.5,zero-shot,kitchen utensil grip,high strength,wood,1.7027027027027026
1.5,zero-shot,kitchen utensil grip,high strength,thermoplastic,0.9864864864864865
1.5,zero-shot,kitchen utensil grip,high strength,elastomer,1.9189189189189189
1.5,zero-shot,kitchen utensil grip,high strength,thermoset,1.472972972972973
1.5,zero-shot,kitchen utensil grip,high strength,composite,0.5540540540540541
1.5,zero-shot,spacecraft component,lightweight,steel,1.0422535211267605
1.5,zero-shot,spacecraft component,lightweight,aluminum,1.9295774647887325
1.5,zero-shot,spacecraft component,lightweight,titanium,0.5633802816901409
1.5,zero-shot,spacecraft component,lightweight,glass,2.4507042253521125
1.5,zero-shot,spacecraft component,lightweight,wood,3.2816901408450705
1.5,zero-shot,spacecraft component,lightweight,thermoplastic,3.4225352112676055
1.5,zero-shot,spacecraft component,lightweight,elastomer,1.7183098591549295
1.5,zero-shot,spacecraft component,lightweight,thermoset,3.3661971830985915
1.5,zero-shot,spacecraft component,lightweight,composite,1.1971830985915493
1.5,zero-shot,spacecraft component,heat resistant,steel,4.866666666666666
1.5,zero-shot,spacecraft component,heat resistant,aluminum,0.8933333333333333
1.5,zero-shot,spacecraft component,heat resistant,titanium,1.2666666666666666
1.5,zero-shot,spacecraft component,heat resistant,glass,5.973333333333334
1.5,zero-shot,spacecraft component,heat resistant,wood,5.986666666666666
1.5,zero-shot,spacecraft component,heat resistant,thermoplastic,3.3733333333333335
1.5,zero-shot,spacecraft component,heat resistant,elastomer,4.506666666666667
1.5,zero-shot,spacecraft component,heat resistant,thermoset,3.533333333333333
1.5,zero-shot,spacecraft component,heat resistant,composite,0.17333333333333334
1.5,zero-shot,spacecraft component,corrosion resistant,steel,2.5942028985507246
1.5,zero-shot,spacecraft component,corrosion resistant,aluminum,2.347826086956522
1.5,zero-shot,spacecraft component,corrosion resistant,titanium,0.2318840579710145
1.5,zero-shot,spacecraft component,corrosion resistant,glass,3.9130434782608696
1.5,zero-shot,spacecraft component,corrosion resistant,wood,3.782608695652174
1.5,zero-shot,spacecraft component,corrosion resistant,thermoplastic,5.072463768115942
1.5,zero-shot,spacecraft component,corrosion resistant,elastomer,5.913043478260869
1.5,zero-shot,spacecraft component,corrosion resistant,thermoset,4.739130434782608
1.5,zero-shot,spacecraft component,corrosion resistant,composite,2.1884057971014492
1.5,zero-shot,spacecraft component,high strength,steel,4.164383561643835
1.5,zero-shot,spacecraft component,high strength,aluminum,1.3150684931506849
1.5,zero-shot,spacecraft component,high strength,titanium,0.1095890410958904
1.5,zero-shot,spacecraft component,high strength,glass,2.8767123287671232
1.5,zero-shot,spacecraft component,high strength,wood,5.191780821917808
1.5,zero-shot,spacecraft component,high strength,thermoplastic,2.328767123287671
1.5,zero-shot,spacecraft component,high strength,elastomer,3.315068493150685
1.5,zero-shot,spacecraft component,high strength,thermoset,2.452054794520548
1.5,zero-shot,spacecraft component,high strength,composite,0.5068493150684932
1.5,zero-shot,underwater component,lightweight,steel,1.3513513513513513
1.5,zero-shot,underwater component,lightweight,aluminum,1.5135135135135136
1.5,zero-shot,underwater component,lightweight,titanium,-0.6891891891891891
1.5,zero-shot,underwater component,lightweight,glass,5.0
1.5,zero-shot,underwater component,lightweight,wood,6.472972972972973
1.5,zero-shot,underwater component,lightweight,thermoplastic,4.72972972972973
1.5,zero-shot,underwater component,lightweight,elastomer,5.878378378378378
1.5,zero-shot,underwater component,lightweight,thermoset,4.716216216216216
1.5,zero-shot,underwater component,lightweight,composite,0.6351351351351351
1.5,zero-shot,underwater component,heat resistant,steel,4.394736842105263
1.5,zero-shot,underwater component,heat resistant,aluminum,0.6447368421052632
1.5,zero-shot,underwater component,heat resistant,titanium,1.736842105263158
1.5,zero-shot,underwater component,heat resistant,glass,5.105263157894737
1.5,zero-shot,underwater component,heat resistant,wood,3.026315789473684
1.5,zero-shot,underwater component,heat resistant,thermoplastic,3.75
1.5,zero-shot,underwater component,heat resistant,elastomer,4.5131578947368425
1.5,zero-shot,underwater component,heat resistant,thermoset,3.8421052631578947
1.5,zero-shot,underwater component,heat resistant,composite,0.6973684210526315
1.5,zero-shot,underwater component,corrosion resistant,steel,-1.2435897435897436
1.5,zero-shot,underwater component,corrosion resistant,aluminum,2.5256410256410255
1.5,zero-shot,underwater component,corrosion resistant,titanium,0.01282051282051282
1.5,zero-shot,underwater component,corrosion resistant,glass,4.038461538461538
1.5,zero-shot,underwater component,corrosion resistant,wood,3.3205128205128207
1.5,zero-shot,underwater component,corrosion resistant,thermoplastic,5.371794871794871
1.5,zero-shot,underwater component,corrosion resistant,elastomer,5.705128205128205
1.5,zero-shot,underwater component,corrosion resistant,thermoset,4.9743589743589745
1.5,zero-shot,underwater component,corrosion resistant,composite,2.871794871794872
1.5,zero-shot,underwater component,high strength,steel,4.197183098591549
1.5,zero-shot,underwater component,high strength,aluminum,1.8732394366197183
1.5,zero-shot,underwater component,high strength,titanium,-0.028169014084507043
1.5,zero-shot,underwater component,high strength,glass,2.5492957746478875
1.5,zero-shot,underwater component,high strength,wood,5.605633802816901
1.5,zero-shot,underwater component,high strength,thermoplastic,2.7464788732394365
1.5,zero-shot,underwater component,high strength,elastomer,3.788732394366197
1.5,zero-shot,underwater component,high strength,thermoset,3.0140845070422535
1.5,zero-shot,underwater component,high strength,composite,1.1830985915492958
1.5,zero-shot,safety helmet,lightweight,steel,1.4166666666666667
1.5,zero-shot,safety helmet,lightweight,aluminum,2.1666666666666665
1.5,zero-shot,safety helmet,lightweight,titanium,-0.3055555555555556
1.5,zero-shot,safety helmet,lightweight,glass,-2.361111111111111
1.5,zero-shot,safety helmet,lightweight,wood,3.388888888888889
