design,criteria,material,response
kitchen utensil grip,lightweight,steel,2
kitchen utensil grip,lightweight,aluminum,10
kitchen utensil grip,lightweight,titanium,10
kitchen utensil grip,lightweight,glass,0
kitchen utensil grip,lightweight,wood,8
kitchen utensil grip,lightweight,thermoplastic,8
kitchen utensil grip,lightweight,thermoset,6
kitchen utensil grip,lightweight,elastomer,8
kitchen utensil grip,lightweight,composite,8
kitchen utensil grip,heat resistant,steel,8
kitchen utensil grip,heat resistant,aluminum,3
kitchen utensil grip,heat resistant,titanium,9
kitchen utensil grip,heat resistant,glass,0
kitchen utensil grip,heat resistant,wood,4
kitchen utensil grip,heat resistant,thermoplastic,0
kitchen utensil grip,heat resistant,thermoset,9
kitchen utensil grip,heat resistant,elastomer,4
kitchen utensil grip,heat resistant,composite,8
kitchen utensil grip,corrosion resistant,steel,5
kitchen utensil grip,corrosion resistant,aluminum,5
kitchen utensil grip,corrosion resistant,titanium,10
kitchen utensil grip,corrosion resistant,glass,0
kitchen utensil grip,corrosion resistant,wood,0
kitchen utensil grip,corrosion resistant,thermoplastic,2
kitchen utensil grip,corrosion resistant,thermoset,8
kitchen utensil grip,corrosion resistant,elastomer,0
kitchen utensil grip,corrosion resistant,composite,9
kitchen utensil grip,high strength,steel,10
kitchen utensil grip,high strength,aluminum,3
kitchen utensil grip,high strength,titanium,10
kitchen utensil grip,high strength,glass,0
kitchen utensil grip,high strength,wood,6
kitchen utensil grip,high strength,thermoplastic,2
kitchen utensil grip,high strength,thermoset,10
kitchen utensil grip,high strength,elastomer,0
kitchen utensil grip,high strength,composite,10
safety helmet,lightweight,steel,0
safety helmet,lightweight,aluminum,8
safety helmet,lightweight,titanium,9
safety helmet,lightweight,glass,0
safety helmet,lightweight,wood,2
safety helmet,lightweight,thermoplastic,0
safety helmet,lightweight,thermoset,7
safety helmet,lightweight,elastomer,2
safety helmet,lightweight,composite,10
safety helmet,heat resistant,steel,2
safety helmet,heat resistant,aluminum,0
safety helmet,heat resistant,titanium,10
safety helmet,heat resistant,glass,2
safety helmet,heat resistant,wood,0
safety helmet,heat resistant,thermoplastic,0
safety helmet,heat resistant,thermoset,9
safety helmet,heat resistant,elastomer,0
safety helmet,heat resistant,composite,9
safety helmet,corrosion resistant,steel,7
safety helmet,corrosion resistant,aluminum,0
safety helmet,corrosion resistant,titanium,10
safety helmet,corrosion resistant,glass,0
safety helmet,corrosion resistant,wood,0
safety helmet,corrosion resistant,thermoplastic,0
safety helmet,corrosion resistant,thermoset,7
safety helmet,corrosion resistant,elastomer,0
safety helmet,corrosion resistant,composite,7
safety helmet,high strength,steel,10
safety helmet,high strength,aluminum,5
safety helmet,high strength,titanium,10
safety helmet,high strength,glass,0
safety helmet,high strength,wood,0
safety helmet,high strength,thermoplastic,0
safety helmet,high strength,thermoset,9
safety helmet,high strength,elastomer,5
safety helmet,high strength,composite,10
underwater component,lightweight,steel,2
underwater component,lightweight,aluminum,9
underwater component,lightweight,titanium,10
underwater component,lightweight,glass,0
underwater component,lightweight,wood,2
underwater component,lightweight,thermoplastic,5
underwater component,lightweight,thermoset,0
underwater component,lightweight,elastomer,7
underwater component,lightweight,composite,10
underwater component,heat resistant,steel,7
underwater component,heat resistant,aluminum,2
underwater component,heat resistant,titanium,10
underwater component,heat resistant,glass,7
underwater component,heat resistant,wood,0
underwater component,heat resistant,thermoplastic,0
underwater component,heat resistant,thermoset,8
underwater component,heat resistant,elastomer,0
underwater component,heat resistant,composite,8
underwater component,corrosion resistant,steel,2
underwater component,corrosion resistant,aluminum,0
underwater component,corrosion resistant,titanium,10
underwater component,corrosion resistant,glass,10
underwater component,corrosion resistant,wood,0
underwater component,corrosion resistant,thermoplastic,0
underwater component,corrosion resistant,thermoset,8
underwater component,corrosion resistant,elastomer,0
underwater component,corrosion resistant,composite,8
underwater component,high strength,steel,10
underwater component,high strength,aluminum,2
underwater component,high strength,titanium,10
underwater component,high strength,glass,0
underwater component,high strength,wood,2
underwater component,high strength,thermoplastic,0
underwater component,high strength,thermoset,10
underwater component,high strength,elastomer,0
underwater component,high strength,composite,9
spacecraft component,lightweight,steel,0
spacecraft component,lightweight,aluminum,9
spacecraft component,lightweight,titanium,10
spacecraft component,lightweight,glass,8
spacecraft component,lightweight,wood,2
spacecraft component,lightweight,thermoplastic,5
spacecraft component,lightweight,thermoset,6
spacecraft component,lightweight,elastomer,0
spacecraft component,lightweight,composite,10
spacecraft component,heat resistant,steel,8
spacecraft component,heat resistant,aluminum,2
spacecraft component,heat resistant,titanium,9
spacecraft component,heat resistant,glass,2
spacecraft component,heat resistant,wood,0
spacecraft component,heat resistant,thermoplastic,0
spacecraft component,heat resistant,thermoset,9
spacecraft component,heat resistant,elastomer,0
spacecraft component,heat resistant,composite,8
spacecraft component,corrosion resistant,steel,5
spacecraft component,corrosion resistant,aluminum,2
spacecraft component,corrosion resistant,titanium,10
spacecraft component,corrosion resistant,glass,10
spacecraft component,corrosion resistant,wood,0
spacecraft component,corrosion resistant,thermoplastic,2
spacecraft component,corrosion resistant,thermoset,7
spacecraft component,corrosion resistant,elastomer,2
spacecraft component,corrosion resistant,composite,8
spacecraft component,high strength,steel,10
spacecraft component,high strength,aluminum,7
spacecraft component,high strength,titanium,10
spacecraft component,high strength,glass,6
spacecraft component,high strength,wood,5
spacecraft component,high strength,thermoplastic,0
spacecraft component,high strength,thermoset,10
spacecraft component,high strength,elastomer,0
spacecraft component,high strength,composite,10
