size,prompt type,r2
1.7,agentic,-3.2435058427269334
1.7,zero-shot,-1.02371143666238
1.7,few-shot,-2.363772089692201
1.7,parallel,-1.7080670883480886
1.7,chain-of-thought,-1.1803047848298456
4.0,agentic,-2.7574960412774074
4.0,zero-shot,-1.0047060407032484
4.0,few-shot,-1.702186450085161
4.0,parallel,-1.1924148852464578
4.0,chain-of-thought,-1.212319051248806
8.0,agentic,-1.7068269309707058
8.0,zero-shot,-0.7350096151156953
8.0,few-shot,-1.477522237387637
8.0,parallel,-1.104041216507818
8.0,chain-of-thought,-0.9737191474569062
14.0,agentic,-2.3782970001818016
14.0,zero-shot,-0.9220469650327101
14.0,few-shot,-1.7305736566020729
14.0,parallel,-0.6811788344552567
14.0,chain-of-thought,-0.7653245420665054
32.0,agentic,-2.5273471171820834
32.0,zero-shot,-1.094567380176291
32.0,few-shot,-1.6866412325625455
32.0,parallel,-1.0787446906167277
32.0,chain-of-thought,-1.1925226331615906
