model_size,question_type,design,criteria,material,r2
1.7,agentic,kitchen utensil grip,lightweight,steel,0.9735590832473773
1.7,agentic,kitchen utensil grip,lightweight,aluminum,0.9725483178239084
1.7,agentic,kitchen utensil grip,lightweight,titanium,0.9769748248838338
1.7,agentic,kitchen utensil grip,lightweight,glass,0.886586284853052
1.7,agentic,kitchen utensil grip,lightweight,wood,0.8903827002418552
1.7,agentic,kitchen utensil grip,lightweight,thermoplastic,0.9494318656529368
1.7,agentic,kitchen utensil grip,lightweight,elastomer,0.8282194776791457
1.7,agentic,kitchen utensil grip,lightweight,thermoset,0.971319254953138
1.7,agentic,kitchen utensil grip,lightweight,composite,0.9870078349697511
1.7,agentic,kitchen utensil grip,heat resistant,steel,0.9760305625731714
1.7,agentic,kitchen utensil grip,heat resistant,aluminum,0.9839265726438325
1.7,agentic,kitchen utensil grip,heat resistant,titanium,0.9551918433056077
1.7,agentic,kitchen utensil grip,heat resistant,glass,0.9633248042180352
1.7,agentic,kitchen utensil grip,heat resistant,wood,0.9333712752550917
1.7,agentic,kitchen utensil grip,heat resistant,thermoplastic,0.9441069258809235
1.7,agentic,kitchen utensil grip,heat resistant,elastomer,0.9425806161861133
1.7,agentic,kitchen utensil grip,heat resistant,thermoset,0.9475233455136013
1.7,agentic,kitchen utensil grip,heat resistant,composite,0.9690631808278867
1.7,agentic,kitchen utensil grip,corrosion resistant,steel,0.9784211778298841
1.7,agentic,kitchen utensil grip,corrosion resistant,aluminum,0.9862952506879177
1.7,agentic,kitchen utensil grip,corrosion resistant,titanium,0.9596555121048389
1.7,agentic,kitchen utensil grip,corrosion resistant,glass,0.9684478471920754
1.7,agentic,kitchen utensil grip,corrosion resistant,wood,0.9455934377794192
1.7,agentic,kitchen utensil grip,corrosion resistant,thermoplastic,0.9857832508284581
1.7,agentic,kitchen utensil grip,corrosion resistant,elastomer,0.9229923798358735
1.7,agentic,kitchen utensil grip,corrosion resistant,thermoset,0.94451871657754
1.7,agentic,kitchen utensil grip,corrosion resistant,composite,0.9481824339580041
1.7,agentic,kitchen utensil grip,high strength,steel,0.9346069957185557
1.7,agentic,kitchen utensil grip,high strength,aluminum,0.9838009236920108
1.7,agentic,kitchen utensil grip,high strength,titanium,0.9698643561930641
1.7,agentic,kitchen utensil grip,high strength,glass,0.9618602484988606
1.7,agentic,kitchen utensil grip,high strength,wood,0.966426763682379
1.7,agentic,kitchen utensil grip,high strength,thermoplastic,0.9844025812425847
1.7,agentic,kitchen utensil grip,high strength,elastomer,0.9621672515620988
1.7,agentic,kitchen utensil grip,high strength,thermoset,0.9660586363948459
1.7,agentic,kitchen utensil grip,high strength,composite,0.9735509285312324
1.7,agentic,spacecraft component,lightweight,steel,0.9804779602765455
1.7,agentic,spacecraft component,lightweight,aluminum,0.9549485933792792
1.7,agentic,spacecraft component,lightweight,titanium,0.9758906699901156
1.7,agentic,spacecraft component,lightweight,glass,0.9698386367063792
1.7,agentic,spacecraft component,lightweight,wood,0.9857681038091252
1.7,agentic,spacecraft component,lightweight,thermoplastic,0.9855053707777922
1.7,agentic,spacecraft component,lightweight,elastomer,0.9391815977765952
1.7,agentic,spacecraft component,lightweight,thermoset,0.9614143013765379
1.7,agentic,spacecraft component,lightweight,composite,0.9668886325503356
1.7,agentic,spacecraft component,heat resistant,steel,0.9795652173913043
1.7,agentic,spacecraft component,heat resistant,aluminum,0.9760276161861535
1.7,agentic,spacecraft component,heat resistant,titanium,0.9704655870445345
1.7,agentic,spacecraft component,heat resistant,glass,0.9630250303073522
1.7,agentic,spacecraft component,heat resistant,wood,0.9770380692975232
1.7,agentic,spacecraft component,heat resistant,thermoplastic,0.9570817823314782
1.7,agentic,spacecraft component,heat resistant,elastomer,0.9530822823882177
1.7,agentic,spacecraft component,heat resistant,thermoset,0.9298267326732673
1.7,agentic,spacecraft component,heat resistant,composite,0.9756499564622465
1.7,agentic,spacecraft component,corrosion resistant,steel,0.9852196800971856
1.7,agentic,spacecraft component,corrosion resistant,aluminum,0.9717832142599409
1.7,agentic,spacecraft component,corrosion resistant,titanium,0.972744151503899
1.7,agentic,spacecraft component,corrosion resistant,glass,0.9617117117117117
1.7,agentic,spacecraft component,corrosion resistant,wood,0.9781609195402299
1.7,agentic,spacecraft component,corrosion resistant,thermoplastic,0.9777070063694268
1.7,agentic,spacecraft component,corrosion resistant,elastomer,0.9619013062409288
1.7,agentic,spacecraft component,corrosion resistant,thermoset,0.9019152795561246
1.7,agentic,spacecraft component,corrosion resistant,composite,0.9575974175697487
1.7,agentic,spacecraft component,high strength,steel,0.9194038489364781
1.7,agentic,spacecraft component,high strength,aluminum,0.9828408530234088
1.7,agentic,spacecraft component,high strength,titanium,0.9752616555661275
1.7,agentic,spacecraft component,high strength,glass,0.9862849887799693
1.7,agentic,spacecraft component,high strength,wood,0.9785194390200603
1.7,agentic,spacecraft component,high strength,thermoplastic,0.9377249968965945
