2025-02-16 19:57:14,313 - INFO - Not all errors for kitchen utensil grip, lightweight, steel
2025-02-16 19:57:29,184 - INFO - Filter out kitchen utensil grip, lightweight, aluminum
2025-02-16 19:57:48,928 - INFO - Filter out kitchen utensil grip, lightweight, titanium
2025-02-16 19:58:05,188 - INFO - Filter out kitchen utensil grip, lightweight, glass
2025-02-16 19:58:26,524 - INFO - Not all errors for kitchen utensil grip, lightweight, wood
2025-02-16 19:58:37,850 - INFO - Not all errors for kitchen utensil grip, lightweight, thermoplastic
2025-02-16 19:58:55,784 - INFO - Not all errors for kitchen utensil grip, lightweight, thermoset
2025-02-16 19:59:14,599 - INFO - Filter out kitchen utensil grip, lightweight, elastomer
2025-02-16 19:59:33,919 - INFO - Not all errors for kitchen utensil grip, lightweight, composite
2025-02-16 19:59:52,411 - INFO - Not all errors for kitchen utensil grip, heat resistant, steel
2025-02-16 20:00:07,256 - INFO - Filter out kitchen utensil grip, heat resistant, aluminum
2025-02-16 20:00:29,332 - INFO - Not all errors for kitchen utensil grip, heat resistant, titanium
2025-02-16 20:00:48,109 - INFO - Not all errors for kitchen utensil grip, heat resistant, glass
2025-02-16 20:01:02,836 - INFO - Not all errors for kitchen utensil grip, heat resistant, wood
2025-02-16 20:01:14,413 - INFO - Filter out kitchen utensil grip, heat resistant, thermoplastic
2025-02-16 20:01:34,949 - INFO - Not all errors for kitchen utensil grip, heat resistant, thermoset
2025-02-16 20:01:59,852 - INFO - Not all errors for kitchen utensil grip, heat resistant, elastomer
2025-02-16 20:02:19,367 - INFO - Filter out kitchen utensil grip, heat resistant, composite
2025-02-16 20:02:39,763 - INFO - Not all errors for kitchen utensil grip, corrosion resistant, steel
2025-02-16 20:02:58,286 - INFO - Filter out kitchen utensil grip, corrosion resistant, aluminum
2025-02-16 20:03:22,977 - INFO - Not all errors for kitchen utensil grip, corrosion resistant, titanium
2025-02-16 20:03:48,047 - INFO - Filter out kitchen utensil grip, corrosion resistant, glass
2025-02-16 22:22:36,159 - INFO - Not all errors for kitchen utensil grip, corrosion resistant, wood
2025-02-16 22:23:11,162 - INFO - Not all errors for kitchen utensil grip, corrosion resistant, thermoplastic
2025-02-16 22:23:26,587 - INFO - Filter out kitchen utensil grip, corrosion resistant, thermoset
2025-02-16 22:23:46,662 - INFO - Filter out kitchen utensil grip, corrosion resistant, elastomer
2025-02-16 22:24:06,996 - INFO - Not all errors for kitchen utensil grip, corrosion resistant, composite
2025-02-16 22:24:23,644 - INFO - Filter out kitchen utensil grip, high strength, steel
2025-02-16 22:24:43,504 - INFO - Filter out kitchen utensil grip, high strength, aluminum
2025-02-16 22:25:04,205 - INFO - Not all errors for kitchen utensil grip, high strength, titanium
2025-02-16 22:25:23,530 - INFO - Not all errors for kitchen utensil grip, high strength, glass
2025-02-16 22:25:43,859 - INFO - Not all errors for kitchen utensil grip, high strength, wood
2025-02-16 22:26:03,509 - INFO - Filter out kitchen utensil grip, high strength, thermoplastic
2025-02-16 22:26:24,961 - INFO - Filter out kitchen utensil grip, high strength, thermoset
2025-02-16 22:26:50,182 - INFO - Not all errors for kitchen utensil grip, high strength, elastomer
2025-02-16 22:27:08,571 - INFO - Not all errors for kitchen utensil grip, high strength, composite
2025-02-16 22:27:28,680 - INFO - Filter out safety helmet, lightweight, steel
2025-02-16 22:27:48,383 - INFO - Not all errors for safety helmet, lightweight, aluminum
2025-02-16 22:28:06,159 - INFO - Not all errors for safety helmet, lightweight, titanium
2025-02-16 22:28:20,898 - INFO - Filter out safety helmet, lightweight, glass
2025-02-16 22:28:41,811 - INFO - Not all errors for safety helmet, lightweight, wood
2025-02-16 22:29:07,042 - INFO - Not all errors for safety helmet, lightweight, thermoplastic
2025-02-16 22:29:34,316 - INFO - Not all errors for safety helmet, lightweight, thermoset
