design,criteria,material,response
kitchen utensil grip,lightweight,steel,0
kitchen utensil grip,lightweight,aluminum,
kitchen utensil grip,lightweight,titanium,6
kitchen utensil grip,lightweight,glass,0
kitchen utensil grip,lightweight,wood,7
kitchen utensil grip,lightweight,thermoplastic,
kitchen utensil grip,lightweight,thermoset,
kitchen utensil grip,lightweight,elastomer,9
kitchen utensil grip,lightweight,composite,
kitchen utensil grip,heat resistant,steel,7
kitchen utensil grip,heat resistant,aluminum,5
kitchen utensil grip,heat resistant,titanium,
kitchen utensil grip,heat resistant,glass,4
kitchen utensil grip,heat resistant,wood,6
kitchen utensil grip,heat resistant,thermoplastic,0
kitchen utensil grip,heat resistant,thermoset,
kitchen utensil grip,heat resistant,elastomer,5
kitchen utensil grip,heat resistant,composite,8
kitchen utensil grip,corrosion resistant,steel,8
kitchen utensil grip,corrosion resistant,aluminum,8
kitchen utensil grip,corrosion resistant,titanium,10
kitchen utensil grip,corrosion resistant,glass,6
kitchen utensil grip,corrosion resistant,wood,4
kitchen utensil grip,corrosion resistant,thermoplastic,
kitchen utensil grip,corrosion resistant,thermoset,
kitchen utensil grip,corrosion resistant,elastomer,
kitchen utensil grip,corrosion resistant,composite,9
kitchen utensil grip,high strength,steel,7
kitchen utensil grip,high strength,aluminum,5
kitchen utensil grip,high strength,titanium,9
kitchen utensil grip,high strength,glass,0
kitchen utensil grip,high strength,wood,7
kitchen utensil grip,high strength,thermoplastic,
kitchen utensil grip,high strength,thermoset,10
kitchen utensil grip,high strength,elastomer,3
kitchen utensil grip,high strength,composite,
safety helmet,lightweight,steel,3
safety helmet,lightweight,aluminum,
safety helmet,lightweight,titanium,9
safety helmet,lightweight,glass,0
safety helmet,lightweight,wood,
safety helmet,lightweight,thermoplastic,
safety helmet,lightweight,thermoset,5
safety helmet,lightweight,elastomer,7
safety helmet,lightweight,composite,10
safety helmet,heat resistant,steel,7
safety helmet,heat resistant,aluminum,7
safety helmet,heat resistant,titanium,9
safety helmet,heat resistant,glass,6
safety helmet,heat resistant,wood,0
safety helmet,heat resistant,thermoplastic,
safety helmet,heat resistant,thermoset,9
safety helmet,heat resistant,elastomer,
safety helmet,heat resistant,composite,10
safety helmet,corrosion resistant,steel,5
safety helmet,corrosion resistant,aluminum,
safety helmet,corrosion resistant,titanium,10
safety helmet,corrosion resistant,glass,3
safety helmet,corrosion resistant,wood,0
safety helmet,corrosion resistant,thermoplastic,
safety helmet,corrosion resistant,thermoset,
safety helmet,corrosion resistant,elastomer,
safety helmet,corrosion resistant,composite,10
safety helmet,high strength,steel,7
safety helmet,high strength,aluminum,
safety helmet,high strength,titanium,10
safety helmet,high strength,glass,2
safety helmet,high strength,wood,
safety helmet,high strength,thermoplastic,
safety helmet,high strength,thermoset,
safety helmet,high strength,elastomer,
safety helmet,high strength,composite,10
underwater component,lightweight,steel,3
underwater component,lightweight,aluminum,8
underwater component,lightweight,titanium,8
underwater component,lightweight,glass,3
underwater component,lightweight,wood,3
underwater component,lightweight,thermoplastic,
underwater component,lightweight,thermoset,
underwater component,lightweight,elastomer,7
underwater component,lightweight,composite,10
underwater component,heat resistant,steel,8
underwater component,heat resistant,aluminum,
underwater component,heat resistant,titanium,10
underwater component,heat resistant,glass,7
underwater component,heat resistant,wood,0
underwater component,heat resistant,thermoplastic,
underwater component,heat resistant,thermoset,9
underwater component,heat resistant,elastomer,
underwater component,heat resistant,composite,5
underwater component,corrosion resistant,steel,3
underwater component,corrosion resistant,aluminum,8
underwater component,corrosion resistant,titanium,10
underwater component,corrosion resistant,glass,7
underwater component,corrosion resistant,wood,0
underwater component,corrosion resistant,thermoplastic,7
underwater component,corrosion resistant,thermoset,
underwater component,corrosion resistant,elastomer,
underwater component,corrosion resistant,composite,9
underwater component,high strength,steel,8
underwater component,high strength,aluminum,7
underwater component,high strength,titanium,10
underwater component,high strength,glass,2
underwater component,high strength,wood,0
underwater component,high strength,thermoplastic,3
underwater component,high strength,thermoset,
underwater component,high strength,elastomer,
underwater component,high strength,composite,9
spacecraft component,lightweight,steel,
spacecraft component,lightweight,aluminum,
spacecraft component,lightweight,titanium,10
spacecraft component,lightweight,glass,3
spacecraft component,lightweight,wood,0
spacecraft component,lightweight,thermoplastic,
spacecraft component,lightweight,thermoset,5
spacecraft component,lightweight,elastomer,4
spacecraft component,lightweight,composite,9
spacecraft component,heat resistant,steel,
spacecraft component,heat resistant,aluminum,
spacecraft component,heat resistant,titanium,9
spacecraft component,heat resistant,glass,8
spacecraft component,heat resistant,wood,0
spacecraft component,heat resistant,thermoplastic,
spacecraft component,heat resistant,thermoset,
spacecraft component,heat resistant,elastomer,
spacecraft component,heat resistant,composite,8
spacecraft component,corrosion resistant,steel,
spacecraft component,corrosion resistant,aluminum,
spacecraft component,corrosion resistant,titanium,10
spacecraft component,corrosion resistant,glass,7
spacecraft component,corrosion resistant,wood,0
spacecraft component,corrosion resistant,thermoplastic,
spacecraft component,corrosion resistant,thermoset,10
spacecraft component,corrosion resistant,elastomer,
spacecraft component,corrosion resistant,composite,9
spacecraft component,high strength,steel,
spacecraft component,high strength,aluminum,8
spacecraft component,high strength,titanium,9
spacecraft component,high strength,glass,7
spacecraft component,high strength,wood,2
spacecraft component,high strength,thermoplastic,
spacecraft component,high strength,thermoset,
spacecraft component,high strength,elastomer,3
spacecraft component,high strength,composite,
