design,criteria,material,response
kitchen utensil grip,lightweight,steel,6
kitchen utensil grip,lightweight,aluminum,8
kitchen utensil grip,lightweight,titanium,7
kitchen utensil grip,lightweight,glass,0
kitchen utensil grip,lightweight,wood,6
kitchen utensil grip,lightweight,thermoplastic,8
kitchen utensil grip,lightweight,thermoset,6
kitchen utensil grip,lightweight,elastomer,6
kitchen utensil grip,lightweight,composite,6
kitchen utensil grip,heat resistant,steel,8
kitchen utensil grip,heat resistant,aluminum,0
kitchen utensil grip,heat resistant,titanium,8
kitchen utensil grip,heat resistant,glass,8
kitchen utensil grip,heat resistant,wood,4
kitchen utensil grip,heat resistant,thermoplastic,6
kitchen utensil grip,heat resistant,thermoset,6
kitchen utensil grip,heat resistant,elastomer,7
kitchen utensil grip,heat resistant,composite,6
kitchen utensil grip,corrosion resistant,steel,8
kitchen utensil grip,corrosion resistant,aluminum,3
kitchen utensil grip,corrosion resistant,titanium,6
kitchen utensil grip,corrosion resistant,glass,0
kitchen utensil grip,corrosion resistant,wood,2
kitchen utensil grip,corrosion resistant,thermoplastic,6
kitchen utensil grip,corrosion resistant,thermoset,6
kitchen utensil grip,corrosion resistant,elastomer,3
kitchen utensil grip,corrosion resistant,composite,8
kitchen utensil grip,high strength,steel,8
kitchen utensil grip,high strength,aluminum,8
kitchen utensil grip,high strength,titanium,8
kitchen utensil grip,high strength,glass,4
kitchen utensil grip,high strength,wood,8
kitchen utensil grip,high strength,thermoplastic,8
kitchen utensil grip,high strength,thermoset,3
kitchen utensil grip,high strength,elastomer,6
kitchen utensil grip,high strength,composite,8
safety helmet,lightweight,steel,8
safety helmet,lightweight,aluminum,7
safety helmet,lightweight,titanium,6
safety helmet,lightweight,glass,3
safety helmet,lightweight,wood,2
safety helmet,lightweight,thermoplastic,5
safety helmet,lightweight,thermoset,3
safety helmet,lightweight,elastomer,3
safety helmet,lightweight,composite,6
safety helmet,heat resistant,steel,6
safety helmet,heat resistant,aluminum,6
safety helmet,heat resistant,titanium,6
safety helmet,heat resistant,glass,5
safety helmet,heat resistant,wood,0
safety helmet,heat resistant,thermoplastic,6
safety helmet,heat resistant,thermoset,7
safety helmet,heat resistant,elastomer,4
safety helmet,heat resistant,composite,8
safety helmet,corrosion resistant,steel,6
safety helmet,corrosion resistant,aluminum,6
safety helmet,corrosion resistant,titanium,8
safety helmet,corrosion resistant,glass,2
safety helmet,corrosion resistant,wood,3
safety helmet,corrosion resistant,thermoplastic,6
safety helmet,corrosion resistant,thermoset,4
safety helmet,corrosion resistant,elastomer,3
safety helmet,corrosion resistant,composite,8
safety helmet,high strength,steel,6
safety helmet,high strength,aluminum,6
safety helmet,high strength,titanium,7
safety helmet,high strength,glass,6
safety helmet,high strength,wood,0
safety helmet,high strength,thermoplastic,2
safety helmet,high strength,thermoset,8
safety helmet,high strength,elastomer,4
safety helmet,high strength,composite,8
underwater component,lightweight,steel,2
underwater component,lightweight,aluminum,6
underwater component,lightweight,titanium,8
underwater component,lightweight,glass,6
underwater component,lightweight,wood,6
underwater component,lightweight,thermoplastic,6
underwater component,lightweight,thermoset,8
underwater component,lightweight,elastomer,6
underwater component,lightweight,composite,7
underwater component,heat resistant,steel,6
underwater component,heat resistant,aluminum,3
underwater component,heat resistant,titanium,6
underwater component,heat resistant,glass,4
underwater component,heat resistant,wood,0
underwater component,heat resistant,thermoplastic,2
underwater component,heat resistant,thermoset,6
underwater component,heat resistant,elastomer,4
underwater component,heat resistant,composite,6
underwater component,corrosion resistant,steel,10
underwater component,corrosion resistant,aluminum,0
underwater component,corrosion resistant,titanium,6
underwater component,corrosion resistant,glass,3
underwater component,corrosion resistant,wood,0
underwater component,corrosion resistant,thermoplastic,2
underwater component,corrosion resistant,thermoset,8
underwater component,corrosion resistant,elastomer,6
underwater component,corrosion resistant,composite,6
underwater component,high strength,steel,6
underwater component,high strength,aluminum,6
underwater component,high strength,titanium,8
underwater component,high strength,glass,3
underwater component,high strength,wood,3
underwater component,high strength,thermoplastic,6
underwater component,high strength,thermoset,6
underwater component,high strength,elastomer,6
underwater component,high strength,composite,8
spacecraft component,lightweight,steel,3
spacecraft component,lightweight,aluminum,7
spacecraft component,lightweight,titanium,8
spacecraft component,lightweight,glass,6
spacecraft component,lightweight,wood,8
spacecraft component,lightweight,thermoplastic,2
spacecraft component,lightweight,thermoset,8
spacecraft component,lightweight,elastomer,4
spacecraft component,lightweight,composite,8
spacecraft component,heat resistant,steel,8
spacecraft component,heat resistant,aluminum,7
spacecraft component,heat resistant,titanium,7
spacecraft component,heat resistant,glass,6
spacecraft component,heat resistant,wood,0
spacecraft component,heat resistant,thermoplastic,6
spacecraft component,heat resistant,thermoset,8
spacecraft component,heat resistant,elastomer,4
spacecraft component,heat resistant,composite,7
spacecraft component,corrosion resistant,steel,8
spacecraft component,corrosion resistant,aluminum,6
spacecraft component,corrosion resistant,titanium,7
spacecraft component,corrosion resistant,glass,5
spacecraft component,corrosion resistant,wood,0
spacecraft component,corrosion resistant,thermoplastic,6
spacecraft component,corrosion resistant,thermoset,7
spacecraft component,corrosion resistant,elastomer,8
spacecraft component,corrosion resistant,composite,8
spacecraft component,high strength,steel,8
spacecraft component,high strength,aluminum,6
spacecraft component,high strength,titanium,8
spacecraft component,high strength,glass,8
spacecraft component,high strength,wood,4
spacecraft component,high strength,thermoplastic,3
spacecraft component,high strength,thermoset,8
spacecraft component,high strength,elastomer,3
spacecraft component,high strength,composite,8
