2025-02-14 19:01:32,358 - INFO - Not all errors for kitchen utensil grip, lightweight, steel
2025-02-14 19:01:46,787 - INFO - Not all errors for kitchen utensil grip, lightweight, aluminum
2025-02-14 19:02:05,163 - INFO - Not all errors for kitchen utensil grip, lightweight, titanium
2025-02-14 19:02:17,899 - INFO - Not all errors for kitchen utensil grip, lightweight, glass
2025-02-14 19:02:32,146 - INFO - Not all errors for kitchen utensil grip, lightweight, wood
2025-02-14 19:02:54,683 - INFO - Filter out kitchen utensil grip, lightweight, thermoplastic
2025-02-14 19:03:12,083 - INFO - Filter out kitchen utensil grip, lightweight, thermoset
2025-02-14 19:03:31,188 - INFO - Not all errors for kitchen utensil grip, lightweight, elastomer
2025-02-14 19:03:50,897 - INFO - Not all errors for kitchen utensil grip, lightweight, composite
2025-02-14 19:04:01,625 - INFO - Not all errors for kitchen utensil grip, heat resistant, steel
2025-02-14 19:04:19,994 - INFO - Not all errors for kitchen utensil grip, heat resistant, aluminum
2025-02-14 19:04:38,038 - INFO - Not all errors for kitchen utensil grip, heat resistant, titanium
2025-02-14 19:04:54,452 - INFO - Not all errors for kitchen utensil grip, heat resistant, glass
2025-02-14 19:05:08,399 - INFO - Not all errors for kitchen utensil grip, heat resistant, wood
2025-02-14 19:05:27,832 - INFO - Filter out kitchen utensil grip, heat resistant, thermoplastic
2025-02-14 19:05:46,624 - INFO - Not all errors for kitchen utensil grip, heat resistant, thermoset
2025-02-14 19:06:05,166 - INFO - Not all errors for kitchen utensil grip, heat resistant, elastomer
2025-02-14 19:06:24,478 - INFO - Filter out kitchen utensil grip, heat resistant, composite
2025-02-14 19:06:46,770 - INFO - Not all errors for kitchen utensil grip, corrosion resistant, steel
2025-02-14 19:07:05,716 - INFO - Not all errors for kitchen utensil grip, corrosion resistant, aluminum
2025-02-14 19:07:23,786 - INFO - Not all errors for kitchen utensil grip, corrosion resistant, titanium
2025-02-14 19:07:42,478 - INFO - Not all errors for kitchen utensil grip, corrosion resistant, glass
2025-02-14 19:08:01,190 - INFO - Filter out kitchen utensil grip, corrosion resistant, wood
